Seller,Buyer,MMBtu
Arkansas,Alabama,200000000
Arkansas,Alaska,100000000
Arkansas,Arizona,200000000
Arkansas,California,200000000
Arkansas,Connecticut,100000000
Arkansas,Delaware,100000000
Arkansas,Florida,200000000
Arkansas,Georgia,200000000
Arkansas,Idaho,100000000
Arkansas,Illinois,200000000
Arkansas,Indiana,200000000
Arkansas,Iowa,200000000
Arkansas,Kansas,100000000
Arkansas,Kentucky,100000000
Arkansas,Maine,100000000
Arkansas,Maryland,100000000
Arkansas,Massachusetts,200000000
Arkansas,Michigan,200000000
Arkansas,Minnesota,200000000
Arkansas,Mississippi,200000000
Arkansas,Missouri,200000000
Arkansas,Montana,100000000
Arkansas,Nebraska,100000000
Arkansas,Nevada,100000000
Arkansas,New Hampshire,100000000
Arkansas,New Jersey,200000000
Arkansas,New York,200000000
Arkansas,North Carolina,200000000
Arkansas,Oregon,165413000.0
Arkansas,Rhode Island,100000000
Arkansas,South Carolina,200000000
Arkansas,South Dakota,100000000
Arkansas,Tennessee,200000000
Arkansas,Utah,100000000
Arkansas,Vermont,100000000
Arkansas,Virginia,200000000
Arkansas,Washington,200000000
Arkansas,Wisconsin,200000000
Arkansas,Hawaii,100000000
Colorado,Alabama,42400000000
Colorado,Alaska,11100000000
Colorado,Arizona,42400000000
Colorado,California,42500000000
Colorado,Connecticut,32384648000.0
Colorado,Delaware,8500000000
Colorado,Florida,42500000000
Colorado,Georgia,42400000000
Colorado,Idaho,14700000000
Colorado,Illinois,42486828000.0
Colorado,Indiana,42400000000
Colorado,Iowa,42400000000
Colorado,Kansas,18800000000
Colorado,Kentucky,28100000000
Colorado,Maine,5900000000
Colorado,Maryland,32400000000
Colorado,Massachusetts,42400000000
Colorado,Michigan,42400000000
Colorado,Minnesota,42400000000
Colorado,Mississippi,42400000000
Colorado,Missouri,35100000000
Colorado,Montana,5400000000
Colorado,Nebraska,21000000000
Colorado,Nevada,31961616000.0
Colorado,New Hampshire,5919345000.0
Colorado,New Jersey,42400000000
Colorado,New York,42500000000
Colorado,North Carolina,42400000000
Colorado,Oregon,33600000000
Colorado,Rhode Island,10100000000
Colorado,South Carolina,39700000000
Colorado,South Dakota,9900000000
Colorado,Tennessee,42400000000
Colorado,Utah,1200000000
Colorado,Vermont,1300000000
Colorado,Virginia,42400000000
Colorado,Washington,42400000000
Colorado,Wisconsin,42400000000
Colorado,Hawaii,300000000
Louisiana,Alabama,50000000000
Louisiana,Alaska,11018109000.0
Louisiana,Arizona,50000000000
Louisiana,California,50000000000
Louisiana,Connecticut,32400000000
Louisiana,Delaware,8500000000
Louisiana,Florida,50000000000
Louisiana,Georgia,50000000000
Louisiana,Idaho,14600000000
Louisiana,Illinois,50000000000
Louisiana,Indiana,50000000000
Louisiana,Iowa,50000000000
Louisiana,Kansas,18700000000
Louisiana,Kentucky,28200000000
Louisiana,Maine,5904097000.0
Louisiana,Maryland,32400000000
Louisiana,Massachusetts,45400000000
Louisiana,Michigan,50000000000
Louisiana,Minnesota,50000000000
Louisiana,Mississippi,50000000000
Louisiana,Missouri,35100000000
Louisiana,Montana,5300000000
Louisiana,Nebraska,20900000000
Louisiana,Nevada,31900000000
Louisiana,New Hampshire,6000000000
Louisiana,New Jersey,50000000000
Louisiana,New York,50000000000
Louisiana,North Carolina,50000000000
Louisiana,Oregon,33500000000
Louisiana,Rhode Island,10100000000
Louisiana,South Carolina,39700000000
Louisiana,South Dakota,9900000000
Louisiana,Tennessee,47200000000
Louisiana,Utah,1200000000
Louisiana,Vermont,1300000000
Louisiana,Virginia,50000000000
Louisiana,Washington,42400000000
Louisiana,Wisconsin,50000000000
Louisiana,Hawaii,300000000
New Mexico,Alabama,50000000000
New Mexico,Alaska,11100000000
New Mexico,Arizona,50000000000
New Mexico,California,50000000000
New Mexico,Connecticut,32300000000
New Mexico,Delaware,8500000000
New Mexico,Florida,50000000000
New Mexico,Georgia,50000000000
New Mexico,Idaho,14600000000
New Mexico,Illinois,50000000000
New Mexico,Indiana,50000000000
New Mexico,Iowa,50000000000
New Mexico,Kansas,18800000000
New Mexico,Kentucky,28100000000
New Mexico,Maine,5900000000
New Mexico,Maryland,32400000000
New Mexico,Massachusetts,45300000000
New Mexico,Michigan,50000000000
New Mexico,Minnesota,50000000000
New Mexico,Mississippi,50000000000
New Mexico,Missouri,35100000000
New Mexico,Montana,5305500000.0
New Mexico,Nebraska,20900000000
New Mexico,Nevada,31900000000
New Mexico,New Hampshire,5900000000
New Mexico,New Jersey,50000000000
New Mexico,New York,50000000000
New Mexico,North Carolina,50000000000
New Mexico,Oregon,33600000000
New Mexico,Rhode Island,10100000000
New Mexico,South Carolina,39700000000
New Mexico,South Dakota,9900000000
New Mexico,Tennessee,47100000000
New Mexico,Utah,1200000000
New Mexico,Vermont,1202943000.0
New Mexico,Virginia,50000000000
New Mexico,Washington,42400000000
New Mexico,Wisconsin,50000000000
New Mexico,Hawaii,300000000
North Dakota,Alabama,23200000000
North Dakota,Alaska,11100000000
North Dakota,Arizona,23200000000
North Dakota,California,23200000000
North Dakota,Connecticut,23200000000
North Dakota,Delaware,8500000000
North Dakota,Florida,23200000000
North Dakota,Georgia,23200000000
North Dakota,Idaho,14647662000.0
North Dakota,Illinois,23200000000
North Dakota,Indiana,23200000000
North Dakota,Iowa,23200000000
North Dakota,Kansas,18700000000
North Dakota,Kentucky,23100000000
North Dakota,Maine,6000000000
North Dakota,Maryland,23200000000
North Dakota,Massachusetts,23200000000
North Dakota,Michigan,23200000000
North Dakota,Minnesota,23200000000
North Dakota,Mississippi,23200000000
North Dakota,Missouri,23200000000
North Dakota,Montana,5400000000
North Dakota,Nebraska,20949560000.0
North Dakota,Nevada,23155683000.0
North Dakota,New Hampshire,6000000000
North Dakota,New Jersey,23200000000
North Dakota,New York,23200000000
North Dakota,North Carolina,23200000000
North Dakota,Oregon,23200000000
North Dakota,Rhode Island,10100000000
North Dakota,South Carolina,23200000000
North Dakota,South Dakota,9900000000
North Dakota,Tennessee,23200000000
North Dakota,Utah,1200000000
North Dakota,Vermont,1300000000
North Dakota,Virginia,23200000000
North Dakota,Washington,23200000000
North Dakota,Wisconsin,23200000000
North Dakota,Hawaii,300000000
Ohio,Alabama,27800000000
Ohio,Alaska,11100000000
Ohio,Arizona,27800000000
Ohio,California,27800000000
Ohio,Connecticut,27700000000
Ohio,Delaware,8500000000
Ohio,Florida,27800000000
Ohio,Georgia,27800000000
Ohio,Idaho,14600000000
Ohio,Illinois,27800000000
Ohio,Indiana,27800000000
Ohio,Iowa,27800000000
Ohio,Kansas,18700000000
Ohio,Kentucky,27700000000
Ohio,Maine,6000000000
Ohio,Maryland,27700000000
Ohio,Massachusetts,27800000000
Ohio,Michigan,27800000000
Ohio,Minnesota,27800000000
Ohio,Mississippi,27800000000
Ohio,Missouri,27727303000.0
Ohio,Montana,5300000000
Ohio,Nebraska,20900000000
Ohio,Nevada,27700000000
Ohio,New Hampshire,6000000000
Ohio,New Jersey,27800000000
Ohio,New York,27800000000
Ohio,North Carolina,27800000000
Ohio,Oregon,27700000000
Ohio,Rhode Island,10100000000
Ohio,South Carolina,27800000000
Ohio,South Dakota,9900000000
Ohio,Tennessee,27800000000
Ohio,Utah,1156021000.0
Ohio,Vermont,1300000000
Ohio,Virginia,27800000000
Ohio,Washington,27800000000
Ohio,Wisconsin,27800000000
Ohio,Hawaii,300000000
Oklahoma,Alabama,50000000000
Oklahoma,Alaska,11100000000
Oklahoma,Arizona,50000000000
Oklahoma,California,50000000000
Oklahoma,Connecticut,32400000000
Oklahoma,Delaware,8500000000
Oklahoma,Florida,50000000000
Oklahoma,Georgia,50000000000
Oklahoma,Idaho,14600000000
Oklahoma,Illinois,50000000000
Oklahoma,Indiana,50000000000
Oklahoma,Iowa,50000000000
Oklahoma,Kansas,18800000000
Oklahoma,Kentucky,28200000000
Oklahoma,Maine,5900000000
Oklahoma,Maryland,32400000000
Oklahoma,Massachusetts,45400000000
Oklahoma,Michigan,50000000000
Oklahoma,Minnesota,50000000000
Oklahoma,Mississippi,50000000000
Oklahoma,Missouri,35105929000.0
Oklahoma,Montana,5300000000
Oklahoma,Nebraska,20900000000
Oklahoma,Nevada,31900000000
Oklahoma,New Hampshire,6000000000
Oklahoma,New Jersey,50000000000
Oklahoma,New York,50000000000
Oklahoma,North Carolina,50000000000
Oklahoma,Oregon,33522732000.0
Oklahoma,Rhode Island,10100000000
Oklahoma,South Carolina,39700000000
Oklahoma,South Dakota,9900000000
Oklahoma,Tennessee,47100000000
Oklahoma,Utah,1200000000
Oklahoma,Vermont,1300000000
Oklahoma,Virginia,50000000000
Oklahoma,Washington,42400000000
Oklahoma,Wisconsin,50000000000
Oklahoma,Hawaii,300000000
Pennsylvania,Alabama,50000000000
Pennsylvania,Alaska,11100000000
Pennsylvania,Arizona,50000000000
Pennsylvania,California,50000000000
Pennsylvania,Connecticut,32400000000
Pennsylvania,Delaware,8600000000
Pennsylvania,Florida,50000000000
Pennsylvania,Georgia,50000000000
Pennsylvania,Idaho,14600000000
Pennsylvania,Illinois,50000000000
Pennsylvania,Indiana,50000000000
Pennsylvania,Iowa,50000000000
Pennsylvania,Kansas,18700000000
Pennsylvania,Kentucky,28200000000
Pennsylvania,Maine,6000000000
Pennsylvania,Maryland,32500000000
Pennsylvania,Massachusetts,45400000000
Pennsylvania,Michigan,50000000000
Pennsylvania,Minnesota,50000000000
Pennsylvania,Mississippi,50000000000
Pennsylvania,Missouri,35100000000
Pennsylvania,Montana,5300000000
Pennsylvania,Nebraska,20900000000
Pennsylvania,Nevada,31900000000
Pennsylvania,New Hampshire,6000000000
Pennsylvania,New Jersey,50000000000
Pennsylvania,New York,50000000000
Pennsylvania,North Carolina,50000000000
Pennsylvania,Oregon,33500000000
Pennsylvania,Rhode Island,10185275000.0
Pennsylvania,South Carolina,39700000000
Pennsylvania,South Dakota,9800000000
Pennsylvania,Tennessee,47144759000.0
Pennsylvania,Utah,1100000000
Pennsylvania,Vermont,1300000000
Pennsylvania,Virginia,50000000000
Pennsylvania,Washington,42373924000.0
Pennsylvania,Wisconsin,50000000000
Pennsylvania,Hawaii,293371000.0
Texas,Alabama,50000000000
Texas,Alaska,11100000000
Texas,Arizona,50000000000
Texas,California,50000000000
Texas,Connecticut,32400000000
Texas,Delaware,8500000000
Texas,Florida,50000000000
Texas,Georgia,50000000000
Texas,Idaho,14600000000
Texas,Illinois,50000000000
Texas,Indiana,50000000000
Texas,Iowa,50000000000
Texas,Kansas,18800000000
Texas,Kentucky,28198828000.0
Texas,Maine,5900000000
Texas,Maryland,32400000000
Texas,Massachusetts,45326916000.0
Texas,Michigan,50000000000
Texas,Minnesota,50000000000
Texas,Mississippi,50000000000
Texas,Missouri,35100000000
Texas,Montana,5300000000
Texas,Nebraska,20900000000
Texas,Nevada,31900000000
Texas,New Hampshire,6000000000
Texas,New Jersey,50000000000
Texas,New York,50000000000
Texas,North Carolina,50000000000
Texas,Oregon,33500000000
Texas,Rhode Island,10100000000
Texas,South Carolina,39700000000
Texas,South Dakota,9900000000
Texas,Tennessee,47100000000
Texas,Utah,1200000000
Texas,Vermont,1300000000
Texas,Virginia,50000000000
Texas,Washington,42400000000
Texas,Wisconsin,50000000000
Texas,Hawaii,300000000
West Virginia,Alabama,50000000000
West Virginia,Alaska,11100000000
West Virginia,Arizona,50000000000
West Virginia,California,50000000000
West Virginia,Connecticut,32400000000
West Virginia,Delaware,8515475000.0
West Virginia,Florida,50000000000
West Virginia,Georgia,50000000000
West Virginia,Idaho,14600000000
West Virginia,Illinois,50000000000
West Virginia,Indiana,50000000000
West Virginia,Iowa,50000000000
West Virginia,Kansas,18700000000
West Virginia,Kentucky,28200000000
West Virginia,Maine,6000000000
West Virginia,Maryland,32413167000.0
West Virginia,Massachusetts,45400000000
West Virginia,Michigan,50000000000
West Virginia,Minnesota,50000000000
West Virginia,Mississippi,50000000000
West Virginia,Missouri,35100000000
West Virginia,Montana,5300000000
West Virginia,Nebraska,20900000000
West Virginia,Nevada,31900000000
West Virginia,New Hampshire,6000000000
West Virginia,New Jersey,50000000000
West Virginia,New York,50000000000
West Virginia,North Carolina,50000000000
West Virginia,Oregon,33500000000
West Virginia,Rhode Island,10100000000
West Virginia,South Carolina,39792817000.0
West Virginia,South Dakota,9805949000.0
West Virginia,Tennessee,47200000000
West Virginia,Utah,1100000000
West Virginia,Vermont,1300000000
West Virginia,Virginia,50000000000
West Virginia,Washington,42400000000
West Virginia,Wisconsin,50000000000
West Virginia,Hawaii,300000000
Wyoming,Alabama,25400000000
Wyoming,Alaska,11100000000
Wyoming,Arizona,25400000000
Wyoming,California,25400000000
Wyoming,Connecticut,25358899000.0
Wyoming,Delaware,8500000000
Wyoming,Florida,25400000000
Wyoming,Georgia,25400000000
Wyoming,Idaho,14700000000
Wyoming,Illinois,25400000000
Wyoming,Indiana,25400000000
Wyoming,Iowa,25400000000
Wyoming,Kansas,18708266000.0
Wyoming,Kentucky,25300000000
Wyoming,Maine,5900000000
Wyoming,Maryland,25400000000
Wyoming,Massachusetts,25400000000
Wyoming,Michigan,25400000000
Wyoming,Minnesota,25400000000
Wyoming,Mississippi,25400000000
Wyoming,Missouri,25400000000
Wyoming,Montana,5400000000
Wyoming,Nebraska,21000000000
Wyoming,Nevada,25300000000
Wyoming,New Hampshire,5900000000
Wyoming,New Jersey,25400000000
Wyoming,New York,25400000000
Wyoming,North Carolina,25400000000
Wyoming,Oregon,25400000000
Wyoming,Rhode Island,10100000000
Wyoming,South Carolina,25400000000
Wyoming,South Dakota,9900000000
Wyoming,Tennessee,25400000000
Wyoming,Utah,1200000000
Wyoming,Vermont,1300000000
Wyoming,Virginia,25400000000
Wyoming,Washington,25400000000
Wyoming,Wisconsin,25400000000
Wyoming,Hawaii,300000000
